name,long_description,short_description
abomasnow,"Blanco, Es un Pokémon muy difícil de encontrar. Es el abominable hombre de las nieves del mundo Pokémon. Genera por sí mismo ventiscas para ocultarse o protegerse. Es conocido como el monstruo del hielo. Al igual que su preevolución Snover, su cuerpo está cubierto de hielo y nieve, pero al ser también de tipo Planta, bajo esa capa de nieve posee un pelaje verdoso, parecido al follaje. Al contrario que Snover a Abomasnow no le gustan los humanos pero si se le entrena bien y se tiene paciencia con él, dará hasta la vida por su entrenador si es necesario.","A white snow monster, blizzard, snow, ice, green coat"
abra,"Marrón, Abra está probablemente basado en un fénec o un zorro. Además, dispone de una coraza marrón que lo protege. Tiende a tener los ojos cerrados y por esto mismo es difícil saber si está dormido o si simplemente está utilizando sus poderes telequinéticos. En estado salvaje es muy difícil de atrapar, ya que suele usar su teletransporte para escapar.","A yellow fox, brown armor, closed eyes, capable of teleportation, telekinetic powers."
absol,"Blanco, Absol está inspirado en Baí Zé, una criatura de la mitología china que se presentaba ante los emperadores con buenas intenciones y les anticipaba que su reinado sería turbulento. También tiene influencia en hakutaku, una criatura de la mitología japonesa que advirtió a un pueblo sobre una catástrofe. Tiene un cuerno en forma de media luna a un lado de la cabeza, tres garras en cada pata y una posterior, una extraña cola con forma de cimitarra y está recubierto de un abundante pelaje de color blanco.","Hakutaku white, horn, claws, scimitar-shaped tail, white fur"
accelgor,"Rojo, Accelgor está basado en la combinación de un ninja, un piloto de carreras y un gusano de tubo gigante.","red ninja, racing driver, giant tube worm."
aegislash,"Marrón, Aegislash está basado en una espada maldita, así como en Excalibur. Este Pokémon además de una espada posee un gran escudo. Aegislash adoptará su forma escudo o su forma filo según sea su estrategia, invirtiendo sus capacidades ofensivas y defensivas. En su forma escudo su defensa y defensa especial son increíblemente altas, y durante su forma filo, lo son su ataque y su ataque especial.","A brown sword, a shield, an attack, a defense."
aerodactyl,"Morado, Aerodactyl era un Pokémon carnívoro, atacaba con sus agudos colmillos al cuello de su presa, aunque de vez en cuando también comía bayas. Sus alas tenían potentes músculos para poder volar, sin embargo, no era muy buen volador por lo que le resultaba difícil atrapar Pokémon al vuelo. También posee un chirriante alarido.","Purple pterodactyl, sharp fangs, red belly, wings with strong muscles."
aggron,"Gris, Aggron está basado en el Bulgasari, un monstruo de la mitología coreana que se alimenta de metal, y en un triceratops.","A gray bulgasari, eating metal, triceratops"
aipom,"Morado, Aipom tiene un gran parecido a un mono ardilla púrpura con su cara quieta en una gran sonrisa y una mirada inexpresiva en sus ojos redondos. En su delgada cola tiene una extensión con forma de mano con tres dedos, le provee tanto propulsión como balance mientras Aipom salta de árbol en árbol.","purple squirrel monkey, smiling, hand-shaped tail with three fingers, expressionless"
alakazam,"Marrón, Alakazam es un Pokémon que se caracteriza por tener un gran poder mental. Posee dos cucharas, una en cada mano, que aumentan sus poderes psíquicos, a diferencia de su preevolución Kadabra, que solo tenía una. En el anime, Alakazam canaliza los movimientos con sus cucharas para atacar a sus oponentes y estás pueden doblarse ante un poder psíquico mayor. Sus orejas se han transformado en dos enormes cuernos y de su cabeza sobresalen unos bigotes, los cuales son más largos en los machos que en las hembras, su cerebro nunca deja de crecer y el número de neuronas no deja de aumentar, por ello le cuesta sostener el peso de la cabeza, para hacerlo utiliza sus poderes psicoquinéticos. Su cuerpo es de tonalidad amarilla, solo siendo marrón en el área de su pecho, hombros, antebrazos y rodillas. A diferencia de Abra y Kadabra, este Pokémon pierde totalmente su cola adquiriendo un aspecto más humanoide.","A yellow humanoid, brown armor, two spoons, two huge horns on the head."
alcremie,"Amarillo, Verde, Blanco, Marrón, Rosa, Azul, Alcremie está basado en un postre de fresas con nata. Concretamente, su aspecto desordenado recuerda al postre inglés eton mess. La composición de su cuerpo está hecha completamente de nata, con unas fresas decorando lo que vendría siendo su enorme cabello. Sus ojos rojizos también toman inspiración en las fresas.","A dessert of strawberries and pink cream, cream, reddish eyes"
alomomola,"Rosa, Alomomola está basado en un pez luna. Su cuerpo tiene la forma de un corazón rosa con detalles fucsias. Posee unas grandes aletas en la parte superior e inferior, las cuales usa como alas para revolotear cuando salta en el mar.","A pink sunfish, fuchsia details, large fins on top and bottom, used as wings"
altaria,"Azul, Altaria es la forma evolucionada de Swablu. Este Pokémon parece tener nubes en vez de alas lo que le es útil para no ser detectado mientras vuela libremente en el cielo. A este Pokémon se le puede encontrar volando en los cielos de lugares templados como lo son las islas o playas dependiendo del tiempo y la abundancia de las bayas y otras frutas.","Blue bird, white clouds like wings"
